time_s,explicit_euler,semi_implicit_euler,leapfrog,rk4
0.0166667,2.36632e-05,0,1.69023e-07,1.69023e-07
0.0333333,4.69884e-05,0,8.45114e-08,0
0.05,6.92994e-05,8.45115e-07,8.45114e-08,8.45114e-08
0.0666667,9.48219e-05,6.76092e-07,1.43669e-06,1.35218e-06
0.0833333,0.00011671,3.38046e-07,5.9158e-07,5.9158e-07
0.1,0.000140543,0,9.29626e-07,8.45115e-07
0.116667,0.00016353,5.9158e-07,5.07069e-07,5.9158e-07
0.133333,0.000186939,6.76092e-07,7.60603e-07,6.76092e-07
0.15,0.000210941,8.45114e-08,1.35218e-06,1.35218e-06
0.166667,0.000232829,1.94376e-06,8.45114e-08,1.69023e-07
0.183333,0.000255478,2.36632e-06,1.69023e-07,3.38046e-07
0.2,0.000278888,2.70437e-06,8.45114e-08,8.45114e-08
0.216667,0.000301959,2.45083e-06,0,2.53534e-07
0.233333,0.00032613,2.70437e-06,3.38046e-07,2.53534e-07
0.25,0.000349793,2.1973e-06,1.01414e-06,7.60603e-07
0.266667,0.000372273,2.87339e-06,3.38046e-07,1.69023e-07
0.283333,0.000395007,4.05655e-06,4.22557e-07,4.22557e-07
0.3,0.000417909,4.14106e-06,8.45115e-07,1.09865e-06
0.316667,0.000441319,5.23971e-06,1.09865e-06,1.35218e-06
0.333333,0.000464559,4.56362e-06,1.01414e-06,1.18316e-06
0.35,0.000488561,4.3946e-06,8.45114e-08,1.69023e-07
0.366667,0.000512055,4.64813e-06,3.38046e-07,5.07069e-07
0.383333,0.000535634,4.31008e-06,8.45114e-08,1.69023e-07
0.4,0.000557353,5.83129e-06,6.76092e-07,7.60603e-07
0.416667,0.000580087,5.9158e-06,1.69023e-06,1.85925e-06
0.433333,0.000604003,6.42287e-06,1.01414e-06,1.09865e-06
0.45,0.000627751,5.32422e-06,1.26767e-06,1.26767e-06
0.466667,0.00065133,5.83129e-06,9.29626e-07,1.09865e-06
0.483333,0.000675162,5.74678e-06,5.07069e-07,4.22557e-07
0.5,0.000698572,6.6764e-06,5.9158e-07,7.60603e-07
0.516667,0.000721221,6.16934e-06,2.53534e-07,3.38046e-07
0.533333,0.000744884,5.9158e-06,1.69023e-07,1.69023e-07
0.55,0.000767956,6.25385e-06,1.69023e-07,8.45114e-08
0.566667,0.000791788,5.49324e-06,6.76092e-07,4.22557e-07
0.583333,0.000814352,6.16934e-06,1.69023e-07,0
0.6,0.0008381,6.84543e-06,8.45114e-08,5.07069e-07
0.616667,0.000861341,6.25385e-06,2.53534e-07,2.53534e-07
0.633333,0.000885004,6.84543e-06,1.69023e-07,3.38046e-07
0.65,0.000908076,7.26798e-06,4.22557e-07,8.45114e-08
0.666667,0.000931739,7.01445e-06,2.53534e-07,1.69023e-07
0.683333,0.000955486,6.84543e-06,5.07069e-07,5.07069e-07
0.7,0.000977966,7.52152e-06,8.45114e-08,5.9158e-07
0.716667,0.00100155,8.53566e-06,8.45115e-07,2.53534e-07
0.733333,0.00102504,7.26798e-06,7.60603e-07,8.45114e-08
0.75,0.00104777,8.62017e-06,5.9158e-07,1.69023e-07
0.766667,0.00107169,9.04273e-06,8.45114e-08,8.45115e-07
0.783333,0.00109425,9.21175e-06,2.53534e-07,2.53534e-07
0.8,0.00111741,8.95821e-06,3.38046e-07,1.01414e-06
0.816667,0.00114074,9.04273e-06,0,5.9158e-07
0.833333,0.00116482,9.80333e-06,3.38046e-07,2.53534e-07
0.85,0.00118789,1.03949e-05,5.9158e-07,0
0.866667,0.00121291,9.12724e-06,8.45115e-07,1.69023e-07
0.883333,0.0012353,9.04273e-06,6.76092e-07,3.38046e-07
0.9,0.00125854,9.38077e-06,1.69023e-06,7.60603e-07
0.916667,0.00128204,1.03104e-05,7.60603e-07,8.45114e-08
0.933333,0.00130494,1.06484e-05,1.60572e-06,5.9158e-07
0.95,0.00132734,9.97235e-06,8.45114e-08,6.76092e-07
0.966667,0.00135058,1.05639e-05,4.22557e-07,6.76092e-07
0.983333,0.00137407,1.20006e-05,4.22557e-07,7.60603e-07
1,0.00139697,1.17471e-05,5.9158e-07,1.35218e-06
1.01667,0.00142081,1.24232e-05,4.22557e-07,2.53534e-07
1.03333,0.00144464,1.20006e-05,9.29626e-07,1.69023e-07
1.05,0.00146763,1.20851e-05,1.69023e-07,1.09865e-06
1.06667,0.00149011,1.39444e-05,1.09865e-06,2.11279e-06
1.08333,0.00151419,1.28457e-05,1.01414e-06,2.02827e-06
1.1,0.00153709,1.32683e-05,1.35218e-06,2.11279e-06
1.11667,0.00156033,1.41979e-05,1.52121e-06,2.36632e-06
1.13333,0.00158374,1.41134e-05,8.45114e-08,7.60603e-07
1.15,0.00160766,1.30148e-05,6.76092e-07,3.38046e-07
1.16667,0.00163099,1.25077e-05,5.07069e-07,4.22557e-07
1.18333,0.0016538,1.25922e-05,2.53534e-07,1.43669e-06
1.2,0.00167705,1.29303e-05,2.53534e-07,9.29626e-07
1.21667,0.00170088,1.29303e-05,7.60603e-07,3.38046e-07
1.23333,0.0017237,1.34373e-05,8.45115e-07,1.69023e-07
1.25,0.00174753,1.33528e-05,9.29626e-07,1.69023e-07
1.26667,0.00177094,1.35218e-05,8.45114e-08,9.29626e-07
1.28333,0.00179502,1.44515e-05,8.45114e-08,5.9158e-07
1.3,0.00181936,1.36063e-05,3.38046e-07,7.60603e-07
1.31667,0.00184345,1.32683e-05,1.77474e-06,9.29626e-07
1.33333,0.00186753,1.09865e-05,3.04241e-06,2.28181e-06
1.35,0.00189069,1.16626e-05,3.04241e-06,2.36632e-06
1.36667,0.00191283,1.25922e-05,2.61985e-06,1.69023e-06
1.38333,0.00193683,1.18316e-05,2.53534e-06,1.77474e-06
1.4,0.00196033,1.17471e-05,3.21144e-06,2.1973e-06
1.41667,0.00198492,1.17471e-05,3.46497e-06,2.61985e-06
